TCP,EEBO,VID,STC,Status,Author,Date,Title,Terms,Pages
A41573,99833980,38459,Wing G1303H; ESTC R223695,Free,"Ben Syrach, Gorion.",1671,"Nevvs from the Jews, or a true relation of a great prophet in the southern parts of Tartaria; pretending himself to be sent to gather together the Jews from all parts: as well the ten tribes that have so long abscronded themselves from the world; as the known tribes of Judah and Benjamin: promising to them the restoration of the land of Canaan, and all that they formerly enjoyed in the time of King Solomon. As it was communicated to Rabbi Josuah ben Eleazar, merchant in Amsterdam, by a letter from Adrianople. Faithfully translated into English, by Josephus Philo-Judæus, gent. With allowance.",Prophets -- Early works to 1800.,13
A41836,18419452,107521,Wing G1605; ESTC R39444,Free,"Graves, Edward.",1679,"A brief narrative and deduction of the several remarkable cases of Sir William Courten, and Sir Paul Pyndar, Knights, and William Courten late of London Esquire, deceased their heirs, executors, administrators and assigns, together with their surviving partners and adventurers with them to the East-Indies, China and Japan, and divers other parts of Asia, Europe, Africa and America : faithfully represented to both houses of Parliament.","Courten, William, d. 1655.; Courten, William, -- Sir, 1572-1636.; Pindar, Paul, -- Sir, 1565 or 6-1650.; Nederlandsche Oost-Indische Compagnie.; Merchant ships -- England.; Great Britain -- History -- Stuarts, 1603-1714.; Great Britain -- Foreign relations -- 1603-1688.",18
A42063,10741029,45593,Wing G1906; ESTC R28684,Free,"Gregory, Francis, 1625?-1707.",1696,A thanksgiving sermon for the deliverance of our King from the late intended assassination of his sacred person and of the Kingdom from the French invasion preached by Francis Gregory.,"Thanksgiving Day addresses.; Sermons, English -- 17th century.",28
A43083,12165353,55296,Wing H1150; ESTC R16918,Free,"Haudicquer de Blancourt, Jean, b. ca. 1650.",1699,"The art of glass shewing how to make all sorts of glass, crystal and enamel : likewise the making of pearls, precious stones, china and looking-glasses : to which is added, the method of painting on glass and enameling : also how to extract the colours from minerals, metals, herbs and flowers ... : illustrated with proper sculptures / written originally in French, by Mr. H. Blancourt, and now first translated into English ; with an appendix, containing exact instructions for making glass-eyes of all colours.; De l'art de la verrerie. English",Glass manufacture -- Early works to 1800.; Enamel and enameling -- Early works to 1800.; Precious stones.,334
A43289,11467386,47802,Wing H1402; ESTC R30770,Free,"Helmont, Jean Baptiste van, 1577-1644.; Charleton, Walter, 1619-1707.; Helmont, Franciscus Mercurius van, 1614-1699.",1650,"A ternary of paradoxes the magnetick cure of wounds, nativity of tartar in wine, image of God in man / written originally by Joh. Bapt. Van Helmont and translated, illustrated and amplified by Walter Charleton.",Wounds and injuries -- Treatment.; Science -- Early works to 1800.; Mind and body.,208
A43326,12087792,53791,Wing H1450; ESTC R6723,Free,"Hennepin, Louis, 17th cent.; La Salle, Robert Cavelier, sieur de, 1643-1687.; Joliet, Louis, 1645-1700.; Marquette, Jacques, 1637-1675.",1698,"A new discovery of a vast country in America extending above four thousand miles between New France and New Mexico, with a description of the great lakes, cataracts, rivers, plants and animals : also the manners, customs, and languages of the several native Indians ... : with a continuation, giving an account of the attempts of the Sieur De la Salle upon the mines of St. Barbe, &c., the taking of Quebec by the English, with the advantages of a shorter cut to China and Japan : both parts illustrated with maps and figures and dedicated to His Majesty, K. William / by L. Hennepin ... ; to which is added several new discoveries in North-America, not publish'd in the French edition.; Nouvelle découverte d'un très grand pays situé dans l'Amérique entre le Nouveau Mexique et la mer Glaciale. English",Indians of North America.; Canada -- Discovery and exploration.; Mississippi River Valley -- Discovery and exploration.; Great Lakes -- Discovery and exploration.; Québec (Province) -- History.; Niagara Falls (N.Y. and Ont.) -- Description and travel.,596
A44313,18201849,107031,Wing H2611; ESTC R38964,Free,"Hooke, Robert, 1635-1703.",1674,"Animadversions on the first part of the Machina coelestis of the honourable, learned, and deservedly famous astronomer Johannes Hevelius, consul of Dantzick together with an explication of some instruments / made by Robert Hooke ...","Hevelius, Johannes, 1611-1687. -- Machina coelestis.; Astronomical instruments -- Early works to 1800.; Geometry -- Early works to 1800.",94
A46842,13341465,99142,Wing J697; ESTC R14902,Free,"Sibelius, Caspar, 1590-1658.; Jessey, Henry, 1603-1663.; Shepard, Thomas, 1605-1649. Clear sunshine.; Wilson, John, 1588-1667. Day-breaking.; Winslow, Edward, 1595-1655. Glorious progress of the Gospel.",1650,"Of the conversion of five thousand and nine hundred East-Indians, in the isle Formosa, neere China to the profession of the true God, in Jesus Christ : by meanes of M. Ro, Junius, a minister lately in Delph in Holland / related by ... M. C. Sibellius ... in a Latine letter ; translated ... by H. Jessei ... ; with a post-script of the Gospels good sucesse also amongst the VVest-Indians, in New England.","Junius, Robert, 1606-1655.; Indians of North America -- Massachusetts -- Missions -- Early works to 1800.; Missions -- Formosa.",49
A47924,13102047,97416,Wing L1312; ESTC R7625,Free,"L'Estrange, Roger, Sir, 1616-1704.",1683,"Theosebia, or, The churches advocate endeavouring the promotion of loyalty to our king, and fidelity to the Episcopal Church, by describing the rebellious principles of the enemies thereof, both in their words and actions to our late soveraign King Charles the First, with the most barbarous conspiracies and horrid machinations against King Charles the Second, and his royal brother James Duke of York, whom God preserve.","Charles -- II, -- King of England, 1630-1685.; Great Britain -- History -- Charles II, 1660-1685.",32
A49911,11849698,49913,Wing L831; ESTC R15898,Free,"Le Comte, Louis, 1655-1728.",1697,"Memoirs and observations typographical, physical, mathematical, mechanical, natural, civil, and ecclesiastical, made in a late journey through the empire of China, and published in several letters particularly upon the Chinese pottery and varnishing, the silk and other manufactures, the pearl fishing, the history of plants and animals, description of their cities and publick works, number of people, their language, manners and commerce, their habits, oeconomy, and government, the philosophy of Confucius, the state of Christianity : with many other curious and useful remarks / by Louis Le Compte ... ; translated from the Paris edition, and illustrated with figures.",China -- Description and travel.,724
A50610,11871318,50126,Wing M1705; ESTC R18200,Free,"Pinto, Fernão Mendes, d. 1583.; Cogan, Henry.",1653,"The voyages and adventures of Fernand Mendez Pinto, a Portugal, during his travels for the space of one and twenty years in the Kingdoms of Ethiopia, China, Tartaria, Cauchinchina, Calaminham, Siam, Pegu, Japan, and a great part of the East-Indiaes with a relation and description of most of the places thereof, their religion, laws, riches, customs, and government in time of peace and war : where he five times suffered shipwrack, was sixteen times sold, and thirteen times made a slave / written originally by himself in the Portugal tongue and dedicated to the Majesty of Philip King of Spain ; done into English by H.C. Gent.; Peregrina cam. English",Voyages and travels.; Asia -- Description and travel.,334
A50886,11824989,49654,Wing M2096; ESTC R12100,Free,"Milton, John, 1608-1674.",1682,"A brief history of Moscovia and of other less-known countries lying eastward of Russia as far as Cathay, gather'd from the writings of several eye-witnesses / by John Milton.",Soviet Union -- Description and travel -- Early works to 1800.; Russia -- History -- To 1533.; Russia -- History -- 1533-1613.,118
A51176,12254622,57312,Wing M247; ESTC R12530,Free,"Magalhães, Gabriel de, 1609-1677.",1688,"A new history of China containing a description of the most considerable particulars of that vast empire / written by Gabriel Magaillans, of the Society of Jesus ... ; done out of French.; Doze excelências da China. English",China -- Description and travel.,341
A51229,12877480,94888,Wing M2554; ESTC R321,Free,"Moore, John, 1646-1714.",1696,"A sermon preach'd before the King at St. James's, April 16, 1696 being a day of publick thanksgiving for the discovery of a horrid design to assassinate His Majesty's person, and for the deliverance of the Nation from a French invasion / by ... John, Lord Bishop of Norwich.","William -- III, -- King of England, 1650-1702.; Church of England -- Sermons.; Sermons, English -- 17th century.",38
A51536,31354769,110254,Wing M2999; ESTC R225061,Free,"Moxon, Joseph, 1627-1691.",1674,"A brief discourse of a passage by the North-pole to Japan, China, &c. pleaded by three experiments, and answers to all objections that can be urged against a passage that way ... with a map of all the discovered lands neerest to the pole / by Jospeh Moxon ...",Discoveries in geography -- Early works to 1800.; Northwest Passage.,8
A51539,99834802,39339,Wing M3000B; ESTC N66307,Free,"Moxon, Joseph, 1627-1691.",1676,"A collection of some attempts made to the North-East, and North-West, for the finding a passage to Japan, China, &c. As also somewhat relating to the satisfaction of all inquirers into Captain John Wood's present search of a passage by the North-Pole, &c. By Joesph Moxon, Hydroprapher to the King's most excellent Majesty.",Geography -- Early works to 1800.; Northwest Passage -- Early works to 1800.,2
A52346,12268734,58152,Wing N1153; ESTC R3880,Free,"Nieuhof, Johannes, 1618-1672.; Goyer, Pieter de.; Keizer, Jacob de.; Kircher, Athanasius, 1602-1680. China monumentis. Selections. English.; Ogilby, John, 1600-1676.; Schall von Bell, Johann Adam, 1592?-1666.; Nederlandsche Oost-Indische Compagnie.",1673,"An embassy from the East-India Company of the United Provinces, to the Grand Tartar Cham, Emperor of China deliver'd by their excellencies, Peter de Goyer and Jacob de Keyzer, at his imperial city of Peking : wherein the cities, towns, villages, ports, rivers, &c. in their passages from Canton to Peking are ingeniously describ'd / by Mr. John Nieuhoff ... ; also an epistle of Father John Adams their antagonist, concerning the whole negotiation ; with an appendix of several remarks taken out of Father Athanasius Kircher ; English'd, and set forth with their several sculptures, by John Ogilby Esq. ...; Gezantschap der Neerlandtsche Oost-Indische Compagnie aan den grooten Tartarischen Cham, den tegenwoordigen keizer van China. English",Nederlandsche Oost-Indische Compagnie.; China -- Description and travel.; Netherlands -- Commerce -- China.; China -- Commerce -- Netherlands.,416
A53322,11467216,47786,Wing O270; ESTC R30756,Free,"Olearius, Adam, 1603-1671.; Mandelslo, Johann Albrecht von, 1616-1644.; Davies, John, 1625-1693.",1669,"The voyages and travells of the ambassadors sent by Frederick, Duke of Holstein, to the Great Duke of Muscovy and the King of Persia begun in the year M.DC.XXXIII. and finish'd in M.DC.XXXIX : containing a compleat history of Muscovy, Tartary, Persia, and other adjacent countries : with several publick transactions reaching near the present times : in VII. books. Whereto are added the Travels of John Albert de Mandelslo (a gentleman belonging to the embassy) from Persia into the East-Indies ... in III. books ... / written originally by Adam Olearius, secretary to the embassy ; faithfully rendered into English, by John Davies.",Voyages and travels.; Asia -- Description and travel.; Iran -- Description and travel.,584
A54677,13543540,100105,Wing P200; ESTC R33642,Free,"Palafox y Mendoza, Juan de, 1600-1659.",1671,"The history of the conquest of China by the Tartars together with an account of several remarkable things concerning the religion, manners, and customes of both nations, but especially the latter / first writ in Spanish by Senõr Palafox ... and now rendred English.; Historia de la conquista de la China por el Tartaro. English. 1671","China -- History -- Tatar Conquest, 1643-1644.; China -- Description and travel.",622
A55567,99832340,36813,Wing P3075; ESTC R30536,Free,"Powell, Thomas.",1679,"A sanctuary for the tempted: being a discourse on Christ's friendly admonition to Peter Wherein the fall and rising of Peter, is at large considered: the craft, potency, and malice of Satan (that arch-enemy of our salvation) discovered: his various wiles. stratagems and machinations invalidated: several choice and excellent Gospel-truths handled, and cleared (from the calumnies and objections of gainsayers.) ... Delivered in sundry sermons, at first; and now, published for the benefit of God's church in general. To which is added, four sermons, preach'd upon sacramental occasions. By Thomas Powel, preacher of the Gospel, and one, whom Satan hath winnowed.","Peter, -- the Apostle, Saint -- Early works to 1800.; Sermons, English -- 17th century.",435
A55980,12088446,53802,Wing P3633; ESTC R7069,Free,Amsterdam (Netherlands). Raad.,1684,"A proclamation by the lords of the council in the city of Amsterdam for the apprehending of divers ruffians who endeavoured to assassinate their Burghemaster Van Beuningen, on the 16th of March, offering a reward of a 1000 duckatoons to any that shall discover one or more desperate villains.","Beuningen, Koenraad van, 1622-1693.; Crime -- Netherlands -- Amstersdam -- Early works to 1800.; Criminals -- Netherlands -- Amstersdam -- Early works to 1800.; Broadsides",1
A57131,12381068,60749,Wing R124; ESTC R7857,Free,"Radcliffe, Alexander, fl. 1669-1696.",1680,Bacchinalia cœlestia a poem in praise of Punch / compos'd by the gods and goddesses in Cabal.,Broadsides -- England -- 17th century.,1
A58447,8206450,41092,Wing R840; ESTC R24492,Free,Gentleman of the town of Elvas.,1686,"A relation of the invasion and conquest of Florida by the Spaniards under the command of Fernando de Soto written in Portuguese by a gentleman of the town of Elvas, now Englished. To which is subjoyned two journeys of the present Emperour of China into Tartary in the years 1682 and 1683 : with some discoveries made by the Spaniards in the island of California, in the year 1683.","Soto, Hernando de, ca. 1500-1542.; Florida -- History -- To 1565.",290
A59154,12619181,64464,Wing S2490; ESTC R22006,Free,"Semedo, Alvaro, 1585-1658.; Martini, Martino, 1614-1661. De bello Tartarico historia. English.; Person of quality.",1655,"The history of that great and renowned monarchy of China wherein all the particular provinces are accurately described, as also the dispositions, manners, learning, lawes, militia, government, and religion of the people : together with the traffick and commodities of that countrey / lately written in Italian by F. Alvarez Semedo ... ; now put into English by a person of quality, and illustrated with several mapps and figures ... ; to which is added the history of the late invasion and conquest of that flourishing kingdom by the Tartars ; with an exact account of the other affairs of China till these present times.; Relação da propagação da fe no reyno da China e outros adjacentes. English",Catholic Church -- China.; China -- History -- 960-1644.,359
A59304,12437741,62052,Wing S2675; ESTC R18258,Free,"Settle, Elkanah, 1648-1724.",1676,"The conquest of China by the Tartars a tragedy, acted at the Duke's Theatre / written by Elkanah Settle ...",,76
A60324,12568013,63393,Wing S3931; ESTC R21677,Free,"Sixtus V, Pope, 1520-1590.; Clemens non Papa, Jacobus, ca. 1510-ca. 1555.",1678,"The Catholick cause, or, The horrid practice of murdering kings, justified, and commended by the Pope in a speech to his cardinals, upon the barbarous assassination of Henry the Third of France, who was stabb'd by Jaques Clement, a Dominican Fryar : the true copy of which speech, both in Latin, and also faithfully rendred into English, you have in the following pages.; De Henrici Tertii morte sermo. English & Latin","Henry -- III, -- King of France, 1551-1589.; Regicides.",47
A61053,99830357,34808,Wing S4882A; ESTC R218797,Free,"Speed, John, 1552?-1629.; Goos, Abraham,; Gryp, Dirck,; Speed, John, 1552?-1629. Theatre of the empire of Great Britaine.",1646,"A prospect of the most famous parts of the vvorld Viz. Asia, 3 Affrica, 5 Europe, 7 America. 9 With these kingdomes therein contained. Grecia, 11 Roman Empire, 13 Germanie, 15 Bohemia, 17 France, 19 Belgia, 21 Spaine, 23 Italie, 25 Hungarie, 27 Denmarke, 29 Poland, 31 Persia, 33 Turkish Empire, 35 Kingdome of China, 37 Tartaria, 39 Sommer Ilands, 41 Civill Warres, in England, Wales, and Ireland. You shall find placed in the beginning of the second booke marked with these [3 asterisks in triangle formation] and (5) together with all the provinces, counties, and shires, contained in that large theator of Great Brittaines empire. / Performed by John Speed.","Geography -- Early works to 1800.; Atlases, English -- Early works to 1800.",219
A61855,99828674,33105,Wing S6019; ESTC R216963,Free,"Struys, Jan Janszoon, d. 1694.; Morrison, John, 17th cent.; Butler, David, Captain.",1684,"The perillous and most unhappy voyages of John Struys Through Italy, Greece, Lifeland, Muscovia, Tartary, Media, Persia, East-India, Japan, and other places in Europe, Africa and Asia. Containing, I. Most accurate remarks and observations of the distinct qualities, religion, politie, customs, laws and properties of the inhabitants: II. A due description of the several cities, towns, forts, and places of trust, as to their site and strength, fortifications by nature, or art, &c. with other things worthy of note: and, III. An exact memorial of the most disastrous calamities which befell the author in those parts (viz) by ship-wrack, robberies, slavery, hunger, tortures, with other incommodities and hardships. To which are added 2 narrativs sent from Capt. D. Butler, relating to the taking in of Astrachan by the Cosacs. Illustrated with divers curious plates, first designed and taken from the life by the author himself. Rendered out of Nether-dutch by John Morrison·; Reysen door Moscovien, Tartarijen, Oost-Indien. English",Voyages and travels -- Early works to 1800.,398
A61858,12626058,64648,Wing S6021; ESTC R900,Free,"Strype, John, 1643-1737.",1696,David and Saul a sermon preached on the day of national thanksgiving for God's gracious deliverance of the King's Majesty from an assassination and the kingdom from a French invasion / by John Strype ...,"Bible. -- O.T. -- Psalms CXIX, 78 -- Sermons.; Sermons, English.",30
A63153,12656224,65373,Wing T2153; ESTC R17270,Free,"Parkyns, William, Sir, 1649?-1696, defendant.; Friend, John, Sir, d. 1696.; England and Wales. Court of Oyer and Terminer and Gaol Delivery (London and Middlesex).",1696,"The tryal and condemnation of Sir William Parkyns, kt., for the horrid and execrable conspiracy to assassinate His sacred Majesty King William, in order to a French invasion of this kingdom who upon full evidence was found guilty of high treason, at the sessions-house in the Old-Baily, March 24, 1695/6 : together with a true copy of the papers delivered to the sheriffs of London and Middlesex, by Sir J. Freind [sic] and Sir W. Parkins, at the place of execution.","Parkyns, William, -- Sir, 1649?-1696.; Friend, John, -- Sir, d. 1696.; Trials (Treason) -- England.",40
A63178,8258395,41248,Wing T2192; ESTC R24640,Free,"Giles, John.; England and Wales. Court of Quarter Sessions of the Peace (London)",1681,"The tryal of John Giles at the Sessions-House in the Old Bayly, held by adjournment from the 7th day of July, 1680 until the 14th day of the same month the adjournment being appointed on purpose for the said Giles, his trial for a barbarous and inhumane attempt to assasinate and murther John Arnold.",Trials (Murder) -- England.,58
A64070,13337566,99119,Wing T3558; ESTC R14474,Free,"Tyler, Alexander.; H. G. Scanderbeg rediviuus.",1685,"Memoires of the life and actions of the most invincible and triumphant prince, Ihon the Great, third of that name, present king of Poland containing a succinct series of affairs from craddle to his present day : with a particular relation of his many great and stupendious victories obtain'd against the Turks and Tartars, from the time he was first made crown-general, and afterwards elected King of Poland / done in verse, out of H. G's historical account of the said princes life and actions, by a lover of the peace and glory of Christendome.","John -- III Sobieski, -- King of Poland, 1629-1696.",177
A64364,11939791,51259,Wing T704; ESTC R8,Free,"Tenison, Thomas, 1636-1715.",1678,"Of idolatry a discourse, in which is endeavoured a declaration of, its distinction from superstition, its notion, cause, commencement, and progress, its practice charged on Gentiles, Jews, Mahometans, Gnosticks, Manichees Arians, Socinians, Romanists : as also, of the means which God hath vouchsafed towards the cure of it by the Shechinah of His Son / by Tho. Tenison ...",Idols and images -- Worship.; Idolatry.,446
A65351,8254074,41214,Wing W1202; ESTC R24606,Free,"Webb, John, 1611-1672.",1669,An historical essay endeavoring a probability that the language of the empire of China is the primitive language by John Webb.,Chinese language.,223
A65676,13325842,99071,Wing W17; ESTC R14006,Free,"E. W., English gentleman at Naples.",1675,"An exact relation of all the late revolutions in Messina with their original, causes and progress to this present : as it was communicated by a letter / from an English gentleman at Naples to a person of quality here.",Messina (Italy) -- History.,9
A67240,13471961,99703,Wing W382; ESTC R4877,Free,"Walker, Henry, Ironmonger.",1641,"A remarkable revelation of the wandrings of the Church of England i idolatry, superstition and ceremonies from the first motion throught each particular station to the first great period : in parallell with the children of Israel in the desert from Rameses to mount Sinai / by H. Walker ...",Church of England -- Customs and practices.; Church of England -- Controversial literature.; Reformation -- England.,8
A68498,99845697,10615,STC 18487; ESTC S110080,Free,"González de Mendoza, Juan, 1545-1618.; Loyola, Marín Ignacio de, d. 1606. aut; Avanzi, Francesco.",1587,"Nevv Mexico. Otherwise, The voiage of Anthony of Espeio who in the yeare 1583. with his company, discouered a lande of 15. prouinces, replenished with townes and villages, with houses of 4. or 5. stories height, it lieth northward, and some suppose that the same way men may by places inhabited go to the lande tearmed Deʻ Labrador. Translated out of the Spanish copie printed first at Madreel, 1586, and afterward at Paris, in the same yeare.; Historia de las cosas mas notables de la China. English. Selections","Espejo, Antonio de.; Indians of North America -- New Mexico -- Early works to 1800.; New Mexico -- Description and travel -- Early works to 1800.",34
A68538,99848987,14114,STC 18986; ESTC S113757,Free,"Owen, John, 1560?-1622.",1607,"Epigrammatum Ioannis Owen Cambro-Britanni libri tres Ad illustrissinam [sic] D. Mariam Neuille, Comitis Dorcestriæ filiam, patronam suam.; Epigrammata. Selections","Epigrams, Latin -- Early works to 1800.",82
A68617,99847123,12137,STC 20509_pt1; ESTC S111862,Free,"Purchas, Samuel, 1577?-1626.",1625,"Purchas his pilgrimes. part 1 In fiue bookes. The first, contayning the voyages and peregrinations made by ancient kings, patriarkes, apostles, philosophers, and others, to and thorow the remoter parts of the knowne world: enquiries also of languages and religions, especially of the moderne diuersified professions of Christianitie. The second, a description of all the circum-nauigations of the globe. The third, nauigations and voyages of English-men, alongst the coasts of Africa ... The fourth, English voyages beyond the East Indies, to the ilands of Iapan, China, Cauchinchina, the Philippinæ with others ... The fifth, nauigations, voyages, traffiques, discoueries, of the English nation in the easterne parts of the world ... The first part.",Voyages and travels -- Early works to 1800.,995
A69607,12258615,57677,Wing B3862; ESTC R19507,Free,"Crull, J. (Jodocus), d. 1713?; Bouvet, Joachim, 1656-1730.",1699,"The Present condition of the Muscovite empire till the year 1699 in two letters : the first from a gentleman who was conversant with the Muscovite ambassadour in Holland, the second from a person of quality at Vienna, concerning the late Muscovite embassy, his present czarish majesty, the Russian empire and Great-Tartary : with the life of the present emperour of China, by Father J. Bouvet, missionary / by the author of The antient and present state of Muscovy.","Peter -- I, -- Emperor of Russia, 1672-1725.; Kangxi, -- Emperor of China, 1654-1722.; Russia -- History -- Peter I, 1689-1725.",122
A70076,99825001,29362,Wing F2110B; ESTC R15621,Free,"Brandenburg (Electorate). Sovereign (1688-1701 : Frederick III); Friedrich Wilhelm, Elector of Brandenburg, 1620-1688. aut; Holy Roman Empire. Reichstag. aut",1689,"A declaration of His Electoral Highness the Duke of Brandenburgh, concerning the present war with France: directing his subjects and vassals, and all other his dependants, how they are to demean themselves in their trading, negotiation, and all incident occasions during the present war. As also a letter sent from the Imperial Diet at Ratisbon to the thirteen cantons in Switzerland, March 7, 1689. Exhorting them to adhere to His Imperial Majesty, and the princes of the empire, in the present war against France.","Grand Alliance, War of the, 1689-1697 -- Early works to 1800.; Europe -- History -- 1648-1715 -- Early works to 1800.",22
A71305,99847123,12139,STC 20509_pt3; ESTC S111862,Free,"Purchas, Samuel, 1577?-1626.",1625,"Purchas his pilgrimes. part 3 In fiue bookes. The first, contayning the voyages and peregrinations made by ancient kings, patriarkes, apostles, philosophers, and others, to and thorow the remoter parts of the knowne world: enquiries also of languages and religions, especially of the moderne diuersified professions of Christianitie. The second, a description of all the circum-nauigations of the globe. The third, nauigations and voyages of English-men, alongst the coasts of Africa ... The fourth, English voyages beyond the East Indies, to the ilands of Iapan, China, Cauchinchina, the Philippinæ with others ... The fifth, nauigations, voyages, traffiques, discoueries, of the English nation in the easterne parts of the world ... The first part.",Voyages and travels -- Early works to 1800.,1207
A71306,99847123,12140,STC 20509_pt4; ESTC S111862,Free,"Purchas, Samuel, 1577?-1626.",1625,"Purchas his pilgrimes. part 4 In fiue bookes. The first, contayning the voyages and peregrinations made by ancient kings, patriarkes, apostles, philosophers, and others, to and thorow the remoter parts of the knowne world: enquiries also of languages and religions, especially of the moderne diuersified professions of Christianitie. The second, a description of all the circum-nauigations of the globe. The third, nauigations and voyages of English-men, alongst the coasts of Africa ... The fourth, English voyages beyond the East Indies, to the ilands of Iapan, China, Cauchinchina, the Philippinæ with others ... The fifth, nauigations, voyages, traffiques, discoueries, of the English nation in the easterne parts of the world ... The first part.",Voyages and travels -- Early works to 1800.,887
A71307,99847123,12138,STC 20509_pt2; ESTC S111862,Free,"Purchas, Samuel, 1577?-1626.",1625,"Purchas his pilgrimes. part 2 In fiue bookes. The first, contayning the voyages and peregrinations made by ancient kings, patriarkes, apostles, philosophers, and others, to and thorow the remoter parts of the knowne world: enquiries also of languages and religions, especially of the moderne diuersified professions of Christianitie. The second, a description of all the circum-nauigations of the globe. The third, nauigations and voyages of English-men, alongst the coasts of Africa ... The fourth, English voyages beyond the East Indies, to the ilands of Iapan, China, Cauchinchina, the Philippinæ with others ... The fifth, nauigations, voyages, traffiques, discoueries, of the English nation in the easterne parts of the world ... The first part.",Voyages and travels -- Early works to 1800.,1168
A78069,99863328,168597,Wing B6325A; Thomason E985_4; ESTC R203354,Free,"Butler, Samuel, 1612-1680.; Prynne, William, 1600-1669, attributed name.",1659,"Mola asinaria: or, The unreasonable and insupportable burthen now press'd upon the shoulders of this groaning nation: by the headless head, and unruly rulers, that usurp upon the liberties and priviledges of the oppressed people. Held forth in a remonstrance to all those that have yet sound and impartial ears to hear, and duly weighed in the scales of equity and justice ... Wherein is demonstrated, what slavery the nation must subject it self to, by allowing the lawfulness and usurped authority of the pretended Long Parliament now unlawfully and violently held at Westminster. By William Prynne, bencher of Lincolns-Inne.","Prynne, William, 1600-1669 -- Early works to 1800.; Political satire, English -- Early works to 1800.; Great Britain -- Politics and government -- 1649-1660 -- Early works to 1800.",8
A79571,43663199,171936,Wing C39; ESTC R223831,Free,H. C.,1661,"An epitomy of history. Wherein is shewn how severall princes and nations, came to their particular countries and dominions; also many great affaires in Judea, Tartaria, Russsia, Poland, Swethland, Germany Italy, Piedmont, Scotland, England, and many other places throughout the world, from the birth of our Saviour to this present time.",World history -- Early works to 1800.,161
A84199,99896797,136933,Wing E3644B; ESTC R231231,Free,,1664,"The exact effigies of a monstrous Tartar taken in Hungary by the valour of the noble Count Serini February, 1664.","Hungary -- Turkish occupation, 1526-1699 -- Early works to 1800.; Broadsides",1
A88007,99866159,118423,Wing L1599; Thomason E671_20; ESTC R207087,Free,,1652,"A letter sent from his excellency Generall Blake to the King of Denmark touching the Dutch fleet now in the sound; and his desires and proposals unto him, and the rising of the Danes in arms to prevent the landing of any enemy. Also a full relation of the last great sea-fight between the English and the Dutch, and the number sunk and taken. With the taking of an 100 fishermen, and the Hollanders fortifying themselves in Bressies Bay in Scotland. Likewise, the proceedings of Sir George Ascues fleet, his motion westward and his design therein, with the councel of states letter to him with joyfull news from China, and the Christian faith, by many both of the nobility and commonalty there.","Blake, Robert, 1599-1657.; Ayscue, George, -- Sir, fl. 1646-1671.; Anglo-Dutch War, 1652-1654 -- Early works to 1800.; Netherlands -- History -- 1648-1714 -- Early works to 1800.; Great Britain -- History, Naval -- Stuarts, 1603-1714 -- Early works to 1800.",8
A96182,99896863,137127,Wing W1294A; ESTC R231670,Free,"Wells, John, fl. 1675.",1675,"Academy. By the Kings priviledge. The most curious and profitable engine that ever was invented, is that which the Kings Majesty hath given leave to John Wells to establish thorowout all England by vertue of his letters patents sealed with the Great Seal of England, forbidding all other persons to undertake, make, or imitate the same, under the penalty specified in the said letters patents, without the power and leave of the aforesaid John Wells. By the means of the foresaid machine, composed of artificial horses, ...",Inventions -- Early works to 1800.; Broadsides,1
A96560,38875560,152509,Wing W2437; ESTC R42669,Free,"William III, King of England, 1650-1702.",1696,"By the King, a proclamation ... issued for the apprehending several persons therein named who ... had entred into a ... conspiracy to assassinate and murder Our Royal Person ... (viz.) Sir George Barclay [and others] ...","William -- III, -- King of England, 1650-1702 -- Assassination attempt, 1696.; Barclay, George, -- Sir, fl. 1696.; Great Britain -- History -- William and Mary, 1689-1702.; Broadsides -- London (England) -- 17th century.",1
B06625,52529108,179264,Wing W2433; ESTC R186686,Free,"England and Wales. Sovereign (1694-1702 : William III); William, III, King of England, 1650-1702.",1696,"By the King a proclamation. William R. Whereas His Majesty hath received information upon oath, that the persons hereinafter named have with divers other wicked and traiterous persons entred into a horrid and detestable conspiracy, to assassinate and murder his Majesties sacred person ...","William, -- III, -- King of England, 1650-1702 -- Assassination attempt, 1696 -- Early works to 1800.; Great Britain -- History -- William and Mary, 1689-1702 -- Early works to 1800.; Broadsides -- Scotland -- 17th century.",1
K001334.001,,,,Free,"Goldsmith, Oliver, 1730?-1774.",1762,"The citizen of the world: or, letters from a Chinese philosopher, residing in London, to his friends in the east. ...",,277
K001334.002,,,,Free,"Goldsmith, Oliver, 1730?-1774.",1762,"The citizen of the world: or, letters from a Chinese philosopher, residing in London, to his friends in the east. ...",,251
K024533.000,,,,Free,"Merande, D.",1768,"A succinct account of a machine, newly invented for the cure of præternatural curvatures of the spine: together with a detail of several cases, in which this machine has been tried with great success. By D. Merande, M.D",,23
K031107.000,,,,Free,"Garrick, David, 1717-1779.",1784,"Arthur and Emmeline: A dramatic entertainment, in two acts, taken from the masque of King Arthur, by Dryden. And now performed at the Theatre-Royal in Drury-Lane, with variety of scenes and machinery. ...; King Arthur or the British worthy",,38
K043175.000,,,,Free,"Murphy, Arthur, 1727-1805.",1759,"The orphan of China: a tragedy, as it is perform'd at the Theatre-Royal, in Drury-Lane.",,105
K047676.000,,,,Free,"Murphy, Arthur, 1727-1805.",1768,Zenobia: a tragedy: As it is performed at the Theatre Royal in Drury-Lane. By the author of The orphan of China.,,90
